ID,milliseconds,Ax,Ay,Az,Bx,By,Bz,Cx,Cy,Cz,Dx,Dy,Dz
1e,804.338350,1023,1023,1023,0,0,0,0,0,0,0,0,0
1e,1795.302007,1023,1023,1023,0,0,0,0,0,0,0,0,0
1e,2802.284759,1023,1023,1023,0,0,0,0,0,0,0,0,0
1e,3793.259586,1023,1023,1023,0,0,0,0,0,0,0,0,0
1e,4800.232376,1023,1023,1023,0,0,0,0,0,0,0,0,0
0,5743.257382,1023,1023,1023,0,0,0,0,0,0,0,0,0
c8,5759.316625,1023,1023,1023,0,508,278,638,0,0,0,0,0
c8,5775.227954,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,5791.228031,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,5807.204261,1023,1023,1023,0,425,510,535,0,0,0,0,0
1e,5823.204942,1023,1023,1023,0,425,510,535,0,0,0,0,0
c8,5855.152270,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,5871.171667,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,5887.131294,1023,1023,1023,0,257,256,526,0,0,0,0,0
c8,5903.102694,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,5919.100960,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,5935.099528,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,5935.139676,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,5951.049798,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,5967.021198,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,5983.023086,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,5999.020145,1023,1023,1023,0,426,510,536,0,0,0,0,0
c8,5999.061198,1023,1023,1023,0,426,510,536,0,0,0,0,0
c8,6014.996676,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,6030.971397,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,6046.953362,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,6046.992907,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,6062.890652,1023,1023,1023,0,279,382,534,0,0,0,0,0
c8,6078.900690,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,6094.919483,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,6110.929220,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,6126.908771,1023,1023,1023,0,307,256,653,0,0,0,0,0
c8,6142.824929,1023,1023,1023,0,423,507,532,0,0,0,0,0
c8,6158.867872,1023,1023,1023,0,421,505,530,0,0,0,0,0
c8,6174.864025,1023,1023,1023,0,421,505,530,0,0,0,0,0
c8,6174.904777,1023,1023,1023,0,421,249,530,0,0,0,0,0
c8,6270.731366,1023,1023,1023,0,421,505,530,0,0,0,0,0
c8,6382.566786,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,6478.528913,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,6574.427648,1023,1023,1023,0,425,510,535,0,0,0,0,0
0,6670.316723,1023,1023,1023,0,425,510,535,0,0,0,0,0
c8,6782.208593,1023,1023,1023,0,426,510,535,0,0,0,0,0
1e,6798.226782,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,6878.086801,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,6974.021156,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,7069.925023,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,7181.815081,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,7277.737965,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,7373.609230,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,7469.488344,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,7581.407985,1023,1023,1023,0,426,510,536,0,0,0,0,0
c8,7677.297060,1023,1023,1023,0,426,510,536,0,0,0,0,0
c8,7773.194286,1023,1023,1023,0,426,510,535,0,0,0,0,0
1e,7805.143123,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,7885.016425,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,7980.965269,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,8076.847402,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,8172.720478,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,8284.548352,1023,1023,1023,0,425,510,535,0,0,0,0,0
c8,8380.553947,1023,1023,1023,0,426,510,536,0,0,0,0,0
c8,8476.425816,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,8572.272630,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,8684.179895,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,8780.102779,1023,1023,1023,0,426,510,535,0,0,0,0,0
1e,8796.076896,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,8876.000005,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,8971.897231,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,9083.768875,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,9179.723757,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,9275.637283,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,9371.534509,1023,1023,1023,0,425,510,535,0,0,0,0,0
c8,9483.330989,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,9579.288889,1023,1023,1023,0,426,510,536,0,0,0,0,0
c8,9675.195171,1023,1023,1023,0,426,510,536,0,0,0,0,0
c8,9771.075492,1023,1023,1023,0,256,510,536,0,0,0,0,0
1e,9803.065082,1023,1023,1023,0,256,510,536,0,0,0,0,0
c8,9882.962230,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,9978.865191,1023,1023,1023,0,425,510,535,0,0,0,0,0
c8,10074.733136,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,10170.634286,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,10282.559058,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,10378.557107,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,10474.297665,1023,1023,1023,0,426,510,535,0,0,0,0,0
0,10570.555016,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,10682.551934,1023,1023,1023,0,426,510,535,0,0,0,0,0
c8,10778.545455,1023,1023,1023,0,426,511,535,0,0,0,0,0
1e,10794.509912,1023,1023,1023,0,426,511,535,0,0,0,0,0
c8,10874.544410,1023,1023,1023,0,428,509,535,0,0,0,0,0
c8,10970.541251,1023,1023,1023,0,428,509,535,0,0,0,0,0
c8,11081.618083,1023,1023,1023,0,426,517,539,0,0,0,0,0
c8,11177.552439,1023,1023,1023,0,415,508,549,0,0,0,0,0
c8,11273.475323,1023,1023,1023,0,430,500,528,0,0,0,0,0
c8,11369.353833,1023,1023,1023,0,430,500,528,0,0,0,0,0
c8,11481.245702,1023,1023,1023,0,425,509,519,0,0,0,0,0
c8,11577.142626,1023,1023,1023,0,429,549,521,0,0,0,0,0
c8,11784.937456,1023,1023,1023,0,446,486,500,0,0,0,0,0
