Time,ID,X,Y,Z
1433451297.18,0,925,952,952
1433451297.2,36292,415,516,527
1433451297.21,36292,415,515,527
1433451297.26,36292,408,510,519
1433451297.27,36292,402,507,512
1433451297.32,36292,415,515,527
1433451297.34,36292,414,514,526
1433451297.38,36292,415,516,527
1433451297.4,36292,415,516,527
1433451297.45,36292,414,515,526
1433451297.46,36292,415,515,526
1433451297.52,36292,415,515,527
1433451297.54,36292,415,515,527
1433451297.59,36292,415,515,527
1433451297.6,36292,415,515,528
1433451297.65,36292,415,514,527
1433451297.66,36292,415,514,527
1433451297.71,36292,411,506,521
1433451297.73,36292,410,507,522
1433451297.77,36292,410,507,521
1433451297.79,36292,410,507,522
1433451297.84,36292,410,506,522
1433451297.85,36292,411,508,522
1433451297.9,36292,411,508,522
1433451297.91,36292,411,507,522
1433451297.96,36292,410,506,522
1433451297.98,36292,411,507,522
1433451298.02,36292,411,507,523
1433451298.04,36292,411,506,522
1433451298.05,36292,411,507,522
1433451298.09,36292,411,506,522
1433451298.1,36292,410,506,522
1433451298.12,36292,410,507,523
1433451298.16,36292,410,506,524
1433451298.18,36292,411,507,524
1433451298.19,36292,412,508,521
1433451298.23,36292,416,511,525
1433451298.24,36292,413,509,524
1433451298.26,36292,412,508,523
1433451298.29,36292,412,509,524
1433451298.3,36292,414,511,524
1433451298.32,36292,414,510,524
1433451298.35,36292,415,513,526
1433451298.37,36292,416,513,525
1433451298.38,36292,417,513,525
1433451298.41,36292,415,511,524
1433451298.43,36292,415,513,524
1433451298.44,36292,416,513,525
1433451298.48,36292,416,515,525
1433451298.49,36292,416,516,524
1433451298.51,36292,416,516,524
1433451298.54,36292,419,519,528
1433451298.55,36292,417,517,524
1433451298.57,36292,416,517,523
1433451298.6,36292,416,520,520
1433451298.62,36292,416,518,520
1433451298.63,36292,420,521,524
1433451298.66,36292,417,520,518
1433451298.68,36292,416,518,517
1433451298.69,36292,416,519,517
1433451298.72,36292,417,521,518
1433451298.74,36292,418,521,519
1433451298.76,36292,419,523,519
1433451298.79,36292,416,520,514
1433451298.82,36292,416,520,514
1433451298.83,36292,416,520,513
1433451298.87,36292,423,527,518
1433451298.88,36292,421,524,515
1433451298.9,36292,420,521,513
1433451298.94,36292,420,517,508
1433451298.96,36292,423,523,510
1433451299.01,36292,419,521,506
1433451299.02,36292,419,519,507
1433451299.07,36292,414,511,519
1433451299.08,36292,417,508,513
1433451299.13,36292,411,508,521
1433451299.15,36292,415,514,522
1433451299.19,36292,422,536,525
1433451299.21,36292,423,527,517
1433451299.26,36292,412,521,519
1433451299.27,36292,414,521,521
1433451299.32,36292,415,510,500
1433451299.33,36292,414,512,498
1433451299.38,36292,405,507,487
1433451299.4,36292,400,506,489
1433451299.46,36292,414,504,495
1433451299.47,36292,417,496,502
1433451299.52,36292,425,512,513
1433451299.54,36292,427,515,517
1433451299.58,36292,435,516,550
1433451299.6,36292,433,524,553
1433451299.65,36292,431,528,559
1433451299.66,36292,430,527,553
1433451299.71,36292,425,519,530
1433451299.72,36292,421,517,522
1433451299.77,36292,417,510,499
1433451299.79,36292,414,511,489
1433451299.83,36292,408,511,476
1433451299.85,36292,410,503,478
1433451299.89,36292,422,502,495
